Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
impact.com,$2B,7/13/2021,Internet software & services,Santa Barbara,United States,North America,2008,$261M,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners,,3
Ledger,$2B,6/10/2021,Hardware,Paris,France,Europe,2014,$466M,"Digital Currency Group, Draper Esprit, Korelya Capital",Digital Currency Group, Draper Esprit, Korelya Capital,,3
Lusha,$2B,11/10/2021,Internet software & services,New York,United States,North America,2016,$245M,"PSG, ION Crossover Partners",PSG, ION Crossover Partners,,,2
Matillion,$2B,9/15/2021,Data management & analytics,Altrincham,United Kingdom,Europe,2011,$310M,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",Scale Venture Partners, Sapphire Ventures, Battery Ventures,,3
MOLOCO,$2B,4/29/2021,Artificial intelligence,Redwood City,United States,North America,2013,$192M,"Smilegate Investment, DSC Investments, KTB Ventures",Smilegate Investment, DSC Investments, KTB Ventures,,3
Mu Sigma,$2B,2/7/2013,Data management & analytics,Northbrook,United States,North America,2004,$211M,"Sequoia Capital, General Atlantic",Sequoia Capital, General Atlantic,,,2
Next Silicon,$2B,6/14/2021,Hardware,Tel Aviv,Israel,Asia,2018,$203M,"Amiti Ventures, Playground Global, Aleph",Amiti Ventures, Playground Global, Aleph,,3
NotCo,$2B,7/26/2021,Artificial Intelligence,Santiago,Chile,South America,2015,$370M,"Kaszek Ventures, SOSV, Tiger Global Management",Kaszek Ventures, SOSV, Tiger Global Management,,3
Olist,$2B,12/15/2021,E-commerce & direct-to-consumer,Curitiba,Brazil,South America,2015,$320M,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund,,3
Pacaso,$2B,3/24/2021,Fintech,Cincinnati,United States,North America,2020,$217M,"Global Founders Capital, Shea Ventures, Greycroft",Global Founders Capital, Shea Ventures, Greycroft,,3
Paradox,$2B,12/27/2021,Internet software & services,Scottsdale,United States,North America,2016,$253M,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",Brighton Park Capital, Blue Cloud Ventures, Workday Ventures,,3
Persona,$2B,9/15/2021,Cybersecurity,San Francisco,United States,North America,2018,$218M,"Coatue Management, Index Ventures, Founders Fund",Coatue Management, Index Ventures, Founders Fund,,3
SmartRecruiters,$2B,7/20/2021,Internet software & services,San Francisco,United States,North America,2010,$225M,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",Mayfield Fund, Insight Partners, Rembrandt Venture Partners,,3
Snapdocs,$2B,5/25/2021,Fintech,San Francisco,United States,North America,2012,$253M,"Sequoia Capital, Y Combinator, F-Prime Capital",Sequoia Capital, Y Combinator, F-Prime Capital,,3
Solugen,$2B,9/10/2021,Other,Houston,United States,North America,2016,$435M,"Fifty Years Fund, Refactor Capital, Temasek",Fifty Years Fund, Refactor Capital, Temasek,,3
StoreDot,$2B,1/4/2022,Other,Herzliya,Israel,Asia,2012,$190M,"Samsung Ventures, SingulariTeam, BP Ventures",Samsung Ventures, SingulariTeam, BP Ventures,,3
Strava,$2B,11/16/2020,Internet software & services,San Francisco,United States,North America,2009,$152M,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital,,3
Temporal,$2B,2/16/2022,Internet software & services,Bellevue,United States,North America,2019,$129M,"Amplify Partners, Addition, Madrona Venture Group",Amplify Partners, Addition, Madrona Venture Group,,3
TuJia,$2B,6/17/2015,Travel,Beijing,China,Asia,2011,$755M,"GGV Capital, QiMing Venture Partnersl",GGV Capital, QiMing Venture Partnersl,,,2
Uplight,$2B,3/3/2021,Other,Boulder,United States,North America,2019,Unknown,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners,,3
Veho,$2B,12/21/2021,"Supply chain, logistics, & delivery",Boulder,United States,North America,2016,$299M,"General Catalyst, Origin Ventures, Fontinalis Partners",General Catalyst, Origin Ventures, Fontinalis Partners,,3
Veriff,$2B,1/26/2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,$177M,"Accel, Institutional Venture Partners, Tiger Global Management",Accel, Institutional Venture Partners, Tiger Global Management,,3
Whatnot,$2B,9/16/2021,E-commerce & direct-to-consumer,Marina del Rey,United States,North America,2019,$225M,"Y Combinator, Andreessen Horowitz, Wonder Ventures",Y Combinator, Andreessen Horowitz, Wonder Ventures,,3
Zenoti,$2B,12/15/2020,Internet software & services,Bellevue,United States,North America,2010,$331M,"Norwest Venture Partners, Accel, Tiger Global Management",Norwest Venture Partners, Accel, Tiger Global Management,,3
Zeta,$2B,5/24/2021,Fintech,San Francisco,United States,North America,2015,$340M,"Sodexo Ventures, SoftBank Group",Sodexo Ventures, SoftBank Group,,,2
Loom,$2B,5/20/2021,Internet software & services,San Francisco,United States,North America,2016,$204M,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst,,3
Mobile Premier League,$2B,9/15/2021,Internet software & services,Bengaluru,India,Asia,2018,$376M,"Sequoia Capital India, RTP Global, Go-Ventures",Sequoia Capital India, RTP Global, Go-Ventures,,3
Uala,$2B,8/13/2021,Fintech,Buenos Aires,Argentina,South America,2017,$544M,"Soros Fund Management, Ribbit Capital, Monashees+",Soros Fund Management, Ribbit Capital, Monashees+,,3
Wenheyou,$2B,4/17/2021,Other,Hunan,China,Asia,2013,$90M,"Sequoia Capital China, Warburg Pincus, IDG Capital",Sequoia Capital China, Warburg Pincus, IDG Capital,,3
Star Charge,$2B,5/19/2021,Auto & transportation,Changzhou,China,Asia,2014,$125M,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund,,3
ABL Space Systems,$2B,3/25/2021,Other,El Segundo,United States,North America,2017,$419M,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment",T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment,,3
Afiniti,$2B,4/14/2017,Artificial intelligence,Hamilton,Bermuda,North America,2006,$120M,GAM Holding,GAM Holding,,,,1
ASAPP,$2B,5/19/2021,Artificial intelligence,New York,United States,North America,2014,$380M,"March Capital Partners, HOF Capital, Emergence Capital Partners",March Capital Partners, HOF Capital, Emergence Capital Partners,,3
BitSight Technologies,$2B,9/13/2021,Cybersecurity,Boston,United States,North America,2013,$401M,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",Menlo Ventures, GGV Capital, Flybridge Capital Partners,,3
Cao Cao Mobility,$2B,1/17/2018,Auto & transportation,Hangzhou,China,Asia,2015,$744M,"People Electrical Appliance Group China, Zhongrong International Trust",People Electrical Appliance Group China, Zhongrong International Trust,,,2
Capitolis,$2B,3/22/2022,Fintech,New York,United States,North America,2017,$282M,"Sequoia Capital, Index Ventures, S Capital",Sequoia Capital, Index Ventures, S Capital,,3
Carbon,$2B,8/20/2015,Hardware,Redwood City,United States,North America,2013,$682M,"Google Ventures, Sequoia Capital, Wakefield Group",Google Ventures, Sequoia Capital, Wakefield Group,,3
Clio,$2B,4/27/2021,Internet software & services,Burnaby,Canada,North America,2008,$386M,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures,,3
Cresta,$2B,3/17/2022,Artificial Intelligence,San Francisco,United States,North America,2017,$151M,"Andreessen Horowitz, Greylock Partners, Sequoia Capital",Andreessen Horowitz, Greylock Partners, Sequoia Capital,,3
Exabeam,$2B,6/1/2021,Cybersecurity,Foster City,United States,North America,2013,$390M,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners,,3
ezCater,$2B,4/2/2019,"Supply chain, logistics, & delivery",Boston,United States,North America,2007,$421M,"Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group,,3
HomeLight,$2B,9/2/2021,Fintech,San Francisco,United States,North America,2012,$219M,"Zeev Ventures, Menlo Ventures,Crosslink Capital",Zeev Ventures, Menlo Ventures,Crosslink Capital,,3
HoneyBook,$2B,5/4/2021,Internet software & services,San Francisco,United States,North America,2013,$498M,"Norwest Venture Partners, Hillsven Capital, Aleph",Norwest Venture Partners, Hillsven Capital, Aleph,,3
Infinidat,$2B,4/29/2015,Hardware,Waltham,United States,North America,2011,$325M,"TPG Growth, Goldman Sachs",TPG Growth, Goldman Sachs,,,2
Mercury,$2B,7/3/2021,Fintech,San Francisco,United States,North America,2019,$152M,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures,,3
Paxos,$2B,4/29/2021,Fintech,New York,United States,North America,2012,$538M,"Liberty City Ventures, RRE Ventures, Mithril Capital Management",Liberty City Ventures, RRE Ventures, Mithril Capital Management,,3
SafetyCulture,$2B,5/3/2021,Internet software & services,Sydney,Australia,Oceania,2004,$222M,"Blackbird Ventures, IndexVentures, Tiger Global Management",Blackbird Ventures, IndexVentures, Tiger Global Management,,3
SmartHR,$2B,6/8/2021,Fintech,Tokyo,Japan,Asia,2013,$190M,"BEENEXT, World Innovation Lab, Light Street Capital",BEENEXT, World Innovation Lab, Light Street Capital,,3
Tonal,$2B,3/31/2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2015,$450M,"Mayfield Fund, Shasta Ventures, L Catterton",Mayfield Fund, Shasta Ventures, L Catterton,,3
Truepill,$2B,10/27/2021,Health,Hayward,United States,North America,2016,$255M,"Initialized Capital, Sound Ventures, TI Platform Management",Initialized Capital, Sound Ventures, TI Platform Management,,3
Unite Us,$2B,3/16/2021,Health,New York,United States,North America,2014,$195M,"Insight Partners, Sequoia Capital, Index Ventures",Insight Partners, Sequoia Capital, Index Ventures,,3
Verkada,$2B,1/29/2020,Cybersecurity,San Mateo,United States,North America,2016,$139M,"next47, First Round Capital, Sequoia Capital",next47, First Round Capital, Sequoia Capital,,3
Wayflyer,$2B,2/1/2022,Fintech,Dublin,Ireland,Europe,2019,$236M,"QED Investors, DST Global, Left Lane Capital",QED Investors, DST Global, Left Lane Capital,,3
Zhubajie,$2B,6/16/2015,Internet software & services,Chongqing,China,Asia,2006,$445M,"Cybernaut Growth Fund, IDG Capital",Cybernaut Growth Fund, IDG Capital,,,2
Transcarent,$2B,1/11/2022,Health,San Francisco,United States,North America,2020,$298M,"Alta Partners, General Catalyst, Jove Equity Partners",Alta Partners, General Catalyst, Jove Equity Partners,,3
Trader Interactive,$2B,5/12/2021,Other,Norfolk,United States,North America,2017,$624M,Carsales,Carsales,,,,1
Glossier,$2B,3/19/2019,Consumer & retail,New York,United States,North America,2014,$266M,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital",Forerunner Ventures, Institutional Venture Partners, Thrive Capital,,3
Hibob,$2B,10/12/2021,Internet software & services,Tel Aviv,Israel,Asia,2015,$274M,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures,,3
Jobandtalent,$2B,12/1/2021,Internet software & services,Madrid,Spain,Europe,2009,$902M,"Kibo Ventures, SoftBank Group, Atomico",Kibo Ventures, SoftBank Group, Atomico,,3
Optimism,$2B,3/17/2022,Internet software & services,San Francisco,United States,North America,2019,$179M,"Paradigm, Huobi Ventures, Andreessen Horowitz",Paradigm, Huobi Ventures, Andreessen Horowitz,,3
solarisBank,$2B,7/13/2021,Fintech,Berlin,Germany,Europe,2016,$403M,"Yabeo Capital, SBI Investment, Vulcan Capital",Yabeo Capital, SBI Investment, Vulcan Capital,,3
WEMAKEPRICE,$2B,9/9/2015,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2009,$397M,"IMM Investment, NXC",IMM Investment, NXC,,,2
Alan,$2B,4/19/2021,Fintech,Paris,France,Europe,2016,$364M,"Index Ventures, Temasek, Portag3 Ventures",Index Ventures, Temasek, Portag3 Ventures,,3
Biren Technology,$2B,8/18/2020,Hardware,Shanghai,China,Asia,2019,$285M,"V FUND, IDG Capital, Green Pine Capital Partners",V FUND, IDG Capital, Green Pine Capital Partners,,3
Voodoo,$2B,8/17/2020,Other,Paris,France,Europe,2013,$517M,"Tencent Holdings, Goldman Sachs",Tencent Holdings, Goldman Sachs,,,2
Carsome,$2B,7/12/2021,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,2015,$577M,"Gobi Partners, 500 Startups, Ondine Capital",Gobi Partners, 500 Startups, Ondine Capital,,3
CircleCI,$2B,5/11/2021,Internet software & services,San Francisco,United States,North America,2011,$315M,"Threshold Ventures, Baseline Ventures, Harrison Metal",Threshold Ventures, Baseline Ventures, Harrison Metal,,3
DealShare,$2B,1/27/2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2018,$612M,"Alpha Wave Global, Matrix Partners India, Tiger Global Management",Alpha Wave Global, Matrix Partners India, Tiger Global Management,,3
DispatchHealth,$2B,3/3/2021,Health,Denver,United States,North America,2013,$403M,"Alta Partners, Questa Capital, Echo Health Venturesl",Alta Partners, Questa Capital, Echo Health Venturesl,,3
Dragos,$2B,10/28/2021,Cybersecurity,Hanover,United States,North America,2016,$358M,"DataTribe, Energy Impact Partners, AllegisCyber Capital",DataTribe, Energy Impact Partners, AllegisCyber Capital,,3
Gousto,$2B,11/3/2020,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,2012,$311M,"MMC Ventures, BGF Ventures, Unilever Ventures",MMC Ventures, BGF Ventures, Unilever Ventures,,3
H2O.ai,$2B,11/7/2021,Artificial intelligence,Mountain View,United States,North America,2011,$251M,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners",Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners,,3
Harness,$2B,1/14/2021,Artificial intelligence,San Francisco,United States,North America,2016,$195M,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",Menlo Ventures, Alkeon Capital Management, Citi Ventures,,3
Harry's,$2B,2/16/2018,Consumer & retail,New York,United States,North America,2013,$792M,"Thrive Capital, Tiger Global Management, Temasek",Thrive Capital, Tiger Global Management, Temasek,,3
PAX,$2B,10/22/2018,Consumer & retail,San Francisco,United States,North America,2007,$542M,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",Tao Capital Partners, Global Asset Capital, Tiger Global Management,,3
Productboard,$2B,2/2/2022,Internet software & services,San Francisco,United States,North America,2014,$261M,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners",Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners,,3
Reltio,$2B,11/4/2021,Data management & analytics,Redwood City,United States,North America,2011,$237M,"Crosslink Capital, .406 Ventures, Sapphire Ventures",Crosslink Capital, .406 Ventures, Sapphire Ventures,,3
Spotter,$2B,2/16/2022,Fintech,Los Angeles,United States,North America,2019,$231M,"SoftBank Group, Access Industries, Crossbeam Venture Partners",SoftBank Group, Access Industries, Crossbeam Venture Partners,,3
Vestiaire Collective,$2B,3/1/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2009,$663M,"Eurazeo, IDInvest Partners, Balderton Capital",Eurazeo, IDInvest Partners, Balderton Capital,,3
Wave,$2B,9/7/2021,Fintech,Dakar,Senegal,Africa,2018,$200M,"Stripe, Founders Fund, Partech Partners",Stripe, Founders Fund, Partech Partners,,3
ZenBusiness,$2B,11/9/2021,Fintech,Austin,United States,North America,2015,$275M,"Greycroft, Lerer Hippeau, Geekdom Fund",Greycroft, Lerer Hippeau, Geekdom Fund,,3
Bowery Farming,$2B,5/25/2021,Other,New York,United States,North America,2015,$497M,"Temasek, Google Ventures, General Catalyst",Temasek, Google Ventures, General Catalyst,,3
Greenlight,$2B,9/24/2020,Fintech,Atlanta,United States,North America,2014,$557M,"Relay Ventures, TTV Capital, Canapi Ventures",Relay Ventures, TTV Capital, Canapi Ventures,,3
KeepTruckin,$2B,4/23/2019,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$417M,"Google Ventures, Index Ventures, Scale Venture Partners",Google Ventures, Index Ventures, Scale Venture Partners,,3
Odoo,$2B,7/29/2021,Internet software & services,Louvain-la-Neuve,Belgium,Europe,2005,$229M,"Summit Partners, Noshaq, Sofinnova Partners",Summit Partners, Noshaq, Sofinnova Partners,,3
Skydance Media,$2B,2/11/2020,Other,Santa Monica,United States,North America,2010,$275M,"RedBird Capital Partners, CJ ENM, Tencent Holdings",RedBird Capital Partners, CJ ENM, Tencent Holdings,,3
Uptake,$2B,10/27/2015,Artificial intelligence,Chicago,United States,North America,2014,$218M,"Revolution, New Enterprise Associates, Caterpillar",Revolution, New Enterprise Associates, Caterpillar,,3
MoMo,$2B,12/10/2021,Fintech,Ho Chi Minh City,Vietnam,Asia,2013,$434M,"Goodwater Capital, Warburg Pincus, GS Growth",Goodwater Capital, Warburg Pincus, GS Growth,,3
Algolia,$2B,7/28/2021,Internet software & services,San Francisco,United States,North America,2012,$334M,"Accel, Alven Capital, Storm Ventures",Accel, Alven Capital, Storm Ventures,,3
Pattern,$2B,10/6/2021,Internet software & services,Lehi,United States,North America,2013,$277M,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners",Knox Lane, Ainge Advisory, Carlson Private Capital Partners,,3
